original_FIP,station_wmo,match_location_name,county_lat,county_lon,station_lat,station_lon,distance_station_to_county_population_centroid_[mi]
G0400070,723723,Prescott_Love_Field,44.913795,-88.641293,44.48,-88.13,159.1230650252036
G0400090,722747,Safford_Amos,44.913795,-88.641293,44.48,-88.13,13.427401942753583
G0400110,722747,Safford_Amos,44.913795,-88.641293,44.48,-88.13,43.61628618253494
G0400120,747188,Blythe_Riverside_Co_Arpt,44.913795,-88.641293,44.48,-88.13,59.95937895681246
G0400130,722780,Phoenix_Sky_Harbor_Intl_Ap,44.913795,-88.641293,44.48,-88.13,7.469477145869375
G0400150,723700,Kingman_Amos,44.913795,-88.641293,44.48,-88.13,35.195340379992416
G0400170,723740,Winslow_Municipal_Ap,44.913795,-88.641293,44.48,-88.13,48.80186409095788
G0400190,722740,Tucson_International_Ap,44.913795,-88.641293,44.48,-88.13,9.690342434253447
G0400210,722748,Casa_Granda_Awos,44.913795,-88.641293,44.48,-88.13,20.907617769682094
G0400230,722720,Bisbee Douglas Intl AP,44.913795,-88.641293,44.48,-88.13,127.50392251392874
G0400250,723723,Prescott_Love_Field,44.913795,-88.641293,44.48,-88.13,14.125615805621054
G0400270,722800,Yuma_Intl_Arpt,44.913795,-88.641293,44.48,-88.13,2.2236748887087967
G0500010,723416,Stuttgart_Awos,44.913795,-88.641293,44.48,-88.13,23.837650603568044
G0500030,722486,Monroe_Regional_Ap,44.913795,-88.641293,44.48,-88.13,74.82502705989938
G0500050,723447,Flippin_Awos,44.913795,-88.641293,44.48,-88.13,8.505052683747552
G0500070,723444,Bentonville_Awos,44.913795,-88.641293,44.48,-88.13,1.6948943956251898
G0500090,723450,Harrison-Boone County Rgnl AP,44.913795,-88.641293,44.48,-88.13,4.543897403339138
G0500110,723417,Pine_Bluff_Faa_Ap,44.913795,-88.641293,44.48,-88.13,68.70391096114973
G0500130,723419,El_Dorado_Goodwin_Field,44.913795,-88.641293,44.48,-88.13,51.10322575939754
G0500150,723446,Harrison_Faa_Ap,44.913795,-88.641293,44.48,-88.13,39.416889148242454
