occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
0.75,0.755,0.755,0,0.4,0,0,0.809,0.777,0.777,0.274,0,0.396
0.75,0.619,0.619,0,0,0,0,0.788,0.749,0.749,0,0,0.145
0.75,0.271,0.271,0,0,0,0,0.541,0.607,0.607,0,0,0.147
0.75,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.0791
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.0787
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.0514,0.0514,0,0,0,0,0.309,0.499,0.499,0,0,0.0918
0.75,0.0756,0.0756,0.133,0,0,0,0.319,0.504,0.504,0,0,0
0.75,0.204,0.204,0.383,0,0,0,0.43,0.579,0.579,0,0,0
0.25,0.151,0.151,0,0,0,0,0.358,0.546,0.546,0,0,0
0.25,0.158,0.158,0.517,0.233,0,0,0.312,0.55,0.55,0,0,0
0.5,0.273,0.273,0,1,0.233,0.0667,0.29,0.635,0.635,0.382,0.0918,0.158
0.5,0.266,0.266,0,0.65,0,0.2,0.297,0.635,0.635,0.411,0.128,0
0.25,0.153,0.153,0,0,0,0,0.281,0.555,0.555,0,0,0.0791
0.25,0.15,0.15,0,0,0,0,0.277,0.56,0.56,0,0,0.237
0.25,0.149,0.149,0,0,0,0,0.291,0.56,0.56,0,0,0
0.25,0.149,0.149,0,0,0,0,0.302,0.555,0.555,0,0,0.158
0.5,0.254,0.254,0,0,0,0,0.353,0.664,0.664,0,0,0.077
0.5,0.276,0.276,0.25,0,0,0,0.402,0.682,0.682,0,0,0
0.5,0.338,0.338,0,0,0,0,0.499,0.72,0.72,0,0,0.0395
0.5,0.439,0.439,0,0,0,0,0.569,0.729,0.729,0,0,0.395
0.25,0.288,0.288,0,0,0,0,0.428,0.583,0.583,0,0,0.0395
0.5,0.52,0.52,0,0.733,0,0,0.625,0.673,0.673,0,0,0.301
0.75,0.429,0.429,0,0.883,0,0,0.611,0.654,0.654,0.766,0,0.187
1,0.16,0.16,0,0,0,0,0.4,0.536,0.536,0,0,0.571
1,0.1,0.1,0,0,0,0,0.368,0.518,0.518,0,0,0.121
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.0791
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0.133,0,0,0,0.258,0.465,0.465,0,0,0
0.5,0.151,0.151,0.633,0,0,0,0.358,0.546,0.546,0,0,0
0.25,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.145
0.25,0.161,0.161,0,0,0,0,0.274,0.55,0.55,0,0,0.0599
0.25,0.158,0.158,0.133,0,0,0,0.277,0.55,0.55,0,0,0
0.5,0.257,0.257,0.117,0,0,0,0.304,0.645,0.645,0,0,0
0.5,0.25,0.25,0,0,0,0,0.297,0.654,0.654,0,0,0.0395
0.5,0.248,0.248,0,0,0,0,0.325,0.654,0.654,0,0,0.189
0.5,0.248,0.248,0,0,0,0,0.346,0.645,0.645,0,0,0.213
0.5,0.254,0.254,0.133,0,0,0,0.353,0.664,0.664,0,0,0.0791
0.75,0.389,0.389,0.633,0,0,0,0.473,0.791,0.791,0,0,0.119
0.75,0.481,0.481,0,0,0,0,0.62,0.847,0.847,0,0,0.22
0.5,0.439,0.439,0,0,0,0,0.569,0.729,0.729,0,0,0.238
1,1,1,0,0,0,0,0.937,0.937,0.937,0,0.0125,0.644
0.75,0.755,0.755,0.383,0,0.233,0.267,0.809,0.777,0.777,0,0.465,0.338
0.75,0.619,0.619,0.133,0,0,0,0.788,0.749,0.749,0,0.213,0.176
0.75,0.381,0.381,0,0,0,0,0.683,0.678,0.678,0,0,0.441
0.75,0.1,0.1,0,0,0,0,0.368,0.518,0.518,0,0,0.217
1,0.0688,0.0688,0,0,0,0,0.333,0.513,0.513,0,0,0.0395
1,0.0563,0.0563,0,0,0,0,0.323,0.504,0.504,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0
1,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.0237
1,0.127,0.127,0,0,0,0,0.344,0.522,0.522,0,0,0.191
1,0.151,0.151,0.133,0,0,0,0.358,0.546,0.546,0,0,0.0714
1,0.266,0.266,0.117,0,0,0,0.367,0.635,0.635,0,0,0.104
1,0.384,0.384,0,0,0,0,0.306,0.72,0.72,0,0,0
1,0.482,0.482,0,0,0,0,0.336,0.806,0.806,0,0,0.119
1,0.463,0.463,0,0,0,0,0.35,0.824,0.824,0,0,0.119
1,0.45,0.45,0,0,0,0,0.336,0.843,0.843,0,0,0.299
0.75,0.347,0.347,0,0,0,0,0.358,0.749,0.749,0,0,0.119
0,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.198
0,0.05,0.05,0,0,0,0,0.258,0.465,0.465,0,0,0.277
0.25,0.163,0.163,0,0,0,0,0.33,0.574,0.574,0,0,0.0395
0.25,0.194,0.194,0,0,0,0,0.379,0.593,0.593,0,0,0.119
0.5,0.439,0.439,0,0,0,0,0.569,0.729,0.729,0,0,0
0.5,0.525,0.525,0,0,0,0,0.597,0.701,0.701,0,0,0.0791
0.5,0.52,0.52,0,0,0,0,0.625,0.673,0.673,0,0,0.316
